amount,wallet_age_days,daily_txn_count,kyc_status,unusual_time,email_valid,device_new,geo_mismatch,network_flag,label
8350,858,11,0,1,1,0,1,1,1
107,411,4,1,1,1,1,1,1,1
1094,39,7,1,0,1,0,1,1,0
9967,1291,8,1,0,0,1,1,1,0
43770,202,5,0,0,0,0,1,1,1
2293,678,1,0,0,0,0,0,1,0
1641,559,12,1,1,1,1,0,1,0
93855,194,3,1,0,0,0,0,1,1
9447,181,8,0,1,1,0,0,1,0
1937,266,12,0,0,0,1,1,1,1
78630,539,3,0,1,0,0,1,1,1
9485,1125,8,0,1,1,1,1,1,1
1354,801,7,1,0,1,0,1,1,0
183,859,4,0,1,0,0,0,1,1
1249,829,5,0,0,1,0,0,1,0
1496,1260,10,1,0,1,1,1,1,1
99954,937,5,1,0,1,0,1,1,0
6672,739,2,0,1,1,0,1,1,1
18177,1009,12,0,1,0,0,1,1,1
71696,141,4,0,1,1,0,0,1,1
910,1027,3,1,1,0,0,0,1,0
35396,1345,7,0,0,1,0,0,1,0
19253,26,3,0,1,1,1,0,1,1
9038,763,7,1,0,0,1,1,1,0
7908,1053,10,1,1,0,1,1,1,1
130,318,3,1,1,0,1,0,1,1
984,801,4,0,0,0,1,0,1,1
1841,1306,3,1,0,1,0,1,1,0
55726,1327,2,1,0,1,1,1,1,0
1986,1491,9,1,1,1,0,0,1,0
9880,1055,2,0,0,1,1,1,1,1
7601,658,7,1,1,0,1,0,1,0
61886,158,4,0,0,1,0,0,1,0
2115,85,7,0,0,0,0,1,1,1
2424,236,5,1,1,1,0,0,1,0
9335,297,7,0,1,0,0,1,1,1
79800,67,4,0,1,0,0,1,1,1
9634,296,8,1,0,1,0,0,1,0
76677,493,11,0,0,1,0,0,1,1
403,1196,3,1,1,0,1,0,1,1
812,617,4,0,1,1,1,1,1,1
1197,144,3,1,1,0,0,0,1,1
605,394,9,1,0,1,0,0,1,0
869,270,7,0,1,1,1,0,1,1
3842,934,6,1,1,0,0,0,1,0
4828,1099,3,0,1,1,1,0,1,0
85234,905,11,1,0,1,0,0,1,1
38359,1000,11,0,1,0,1,1,1,1
76209,321,6,0,1,1,1,0,1,1
72214,306,3,0,1,0,1,1,1,1
15172,491,11,1,0,1,1,0,1,0
1103,1495,6,0,1,1,1,1,1,1
1743,480,4,0,1,1,1,0,1,1
1653,1489,6,0,1,1,1,1,1,1
1604,57,6,0,1,1,1,1,1,1
94898,254,1,1,1,1,0,1,1,1
5080,428,12,1,0,0,0,0,1,0
4124,890,4,1,1,0,1,1,1,1
4397,692,5,0,0,1,0,1,1,0
97367,1343,1,1,1,0,1,0,1,1
8834,330,10,1,0,0,1,1,1,1
872,637,11,0,1,0,0,0,1,1
60064,305,6,1,1,1,1,0,1,0
1428,348,12,1,1,0,0,1,1,1
1198,1348,3,0,1,0,0,0,1,1
73748,540,10,1,0,1,0,0,1,1
84791,749,1,1,0,1,0,1,1,1
3752,449,12,0,1,0,0,1,1,1
32646,846,6,1,1,1,1,1,1,1
89884,507,11,0,0,0,0,1,1,1
85020,21,10,1,1,0,0,0,1,1
34872,490,3,1,1,0,1,0,1,0
92904,1158,4,0,1,0,0,1,1,1
11902,1139,12,0,1,0,0,0,1,1
20288,1487,7,0,0,1,1,1,1,1
948,767,2,0,1,0,0,1,1,1
9863,1442,1,1,1,0,0,1,1,1
884,400,7,0,1,0,1,0,1,1
23012,540,8,1,0,1,0,0,1,0
1150,912,3,1,0,1,0,0,1,0
7761,435,6,1,0,1,0,1,1,0
7312,902,9,1,1,1,0,0,1,0
1645,1192,2,1,1,1,0,1,1,0
959,18,1,0,1,0,0,1,1,1
87845,920,11,1,1,0,0,1,1,1
601,1004,11,0,1,0,1,1,1,1
51706,748,12,1,0,0,0,1,1,1
80554,1058,4,1,1,1,1,1,1,1
18233,1337,2,0,1,0,1,1,1,1
8874,1324,2,1,0,1,1,0,1,0
232,423,9,0,1,1,0,0,1,1
876,585,7,1,1,1,1,0,1,0
1744,1001,12,0,0,0,0,0,1,1
7231,579,10,1,0,1,1,0,1,0
58520,1393,5,1,1,1,0,1,1,0
11168,1478,5,1,0,1,0,0,1,0
10253,1093,10,1,1,0,0,0,1,0
1655,423,3,1,1,1,1,0,1,0
